results/11_C1vsC3_all_genes.csv
"gene","logFC","t"
"LOC91149",0.00283965033121292,0.00827013851990481
"MCM5",0.00022415670949183,0.00799141497765309
"PPIAL4C",0.000350147217414332,0.00786316909550692
"BPI",0.00319409495234702,0.00781364267916983
"TRHDE",0.00348177242272696,0.00780522042137758
"C10orf113",0.00196584729917559,0.00772411543108899
"TSTA3",0.000211916013670432,0.00710096443010566
"CYP11A1",0.00137849395221856,0.00708652636856607
"ADAMTSL3",0.000726376199440715,0.00670523377614536
"CACNG2",0.00148959087363976,0.00653639220666989
"BCL2",0.000428103799228197,0.00637523618146389
"CYLC1",0.000677589617821231,0.00629959473149582
"ZNF510",0.000128244286215384,0.00629867829603525
"ADARB2",0.00263150652556776,0.00611642945584814
"FAM168A",0.000282672812906171,0.00595278601674433
"GPX2",0.00204494459807769,0.00557188257214222
"IFT80",0.000135848165394137,0.00556176079518916
"GABRQ",0.00290192961201718,0.00551505336457308
"MORN1",0.000394206890311999,0.00520878201494323
"ENPP3",0.00156010677275198,0.0047402336768508
"CAMKV",0.00182954886572695,0.00460413031942385
"MYOM3",0.000669071803119259,0.00442430503540536
"KCNJ16",0.00186574411279805,0.0036749086070249
"GTF2IRD2B",0.000151834533568262,0.0036707061228046
"SLC10A3",9.10876806354821e-05,0.00362479573614712
"TCP10",0.000601162381873604,0.00304343994876967
"NOL8",4.78641962935455e-05,0.00286914971672984
"LOC728613",0.000242092627197543,0.00285935265088364
"LOR",0.00113518910937094,0.00279360951464687
"OR8D2",0.000331087334377062,0.00270661349003205
"MXD1",6.843972818249e-05,0.00220548054942624
"EIF4G1",3.73856540356599e-05,0.00217613992017362
"TRIP11",5.53870883361895e-05,0.00217083651056909
"C1orf182",0.000267305296071996,0.00194287622395693
"SEPX1",6.29369083773312e-05,0.00180029915789309
"ALOXE3",0.000607381905432192,0.00163359415410502
"CHRFAM7A",0.000167442560111475,0.00154058744537452
"SLC25A44",2.52296336018532e-05,0.00144796261347741
"SLC16A13",9.41314213172006e-05,0.00139209072496155
"TMPRSS15",0.000466366664285678,0.00114244004334752
"GRM8",0.000146428152354439,0.000797982774780121
"ITGA3",1.47631650788682e-05,0.000316584884042287
"RPGRIP1L",8.40763222864638e-06,0.00025025533093708
"SLC30A4",1.35859691674511e-05,0.000219653396959504
"GRIN1",-6.0838615550729e-05,-0.0001922501762847
"ADAMTS5",-2.61212303174219e-05,-0.000478275259680638
"COX7B2",-0.000196637700685676,-0.000487982513134802
"WNT9A",-0.000146262079220527,-0.000500612465277307
"WNT8B",-0.000308421746638476,-0.000723178051966012
"CATSPER2",-7.22273872924006e-05,-0.00100742987249768
"CHST8",-0.000359110984534894,-0.00108962309673481
"KCNH8",-0.000386215971699855,-0.00114025212899957
"RTN4RL1",-0.000176536419792761,-0.00114529947707417
"ZNF827",-5.92282917368792e-05,-0.00119460728890291
"C16orf79",-0.000171391816066624,-0.00122081921480274
"B4GALT5",-3.94253835196423e-05,-0.00170969327325692
"NPLOC4",-3.30066879294932e-05,-0.00177444630993844
"SNORA24",-0.000532248536794566,-0.00191043597089417
"OR7D2",-0.000856097672800704,-0.00191336373794222
"MYO15A",-0.000269704164991502,-0.00217155117523792
"VAV3",-0.000176339247025759,-0.00259715393140062
"PAQR3",-8.93252810998391e-05,-0.00266606847794857
"LOC729176",-0.000117660499986627,-0.00274901102224716
"SOS1",-5.60991788178811e-05,-0.00303961572484674
"ADAMTS7",-0.000233504928037753,-0.00336436515473113
"PLVAP",-9.07233852665001e-05,-0.00340814895201684
"H2AFZ",-9.29884547371529e-05,-0.00401596624142346
"C1QTNF1",-0.000152946276744004,-0.0040173631430835
"CDH23",-0.000355549265391275,-0.00413692140567693
"PGCP",-0.000202587476925586,-0.0045779084031026
"ENPP4",-0.000215348381555458,-0.00481211818718447
"EIF4G2",-7.28602287063396e-05,-0.00498649331185176
"CENPW",-0.000296961503866378,-0.00574281918465084
"RMND5B",-0.000133240035043336,-0.005849688693423
"CRYGN",-0.00224054183882982,-0.00593857696303246
"ZNF354C",-0.000596720302322495,-0.00606046896785537
"KIAA0196",-0.000121889373946971,-0.00615854134111236
"KCTD7",-0.000193553004954161,-0.00652702906627539
