"patient","Kynurenine","Glycolysis","Glutamine","Adenosine","Tryptophan_metabolism","Hypoxia","EMT","Stemness","T_cell","NK_cell","Treg","Macrophage","Cytotoxicity","Exhaustion","Checkpoint","IFNG_response","IDO1","TDO2","Down_score","cluster","CD8frac","LymphFrac","resid_kyn_cd8","resid_kyn_lym"
"TCGA-AO-A0J6",-0.881162916655185,-0.707774790579756,-1.8239872106247,1.38668658781998,-0.18101305452326,0.193874707357647,-1.80781101256971,-0.0797886931133312,0.621771569627129,1.27162243732564,0.610342086153773,0.261257009160718,1.05368840711411,0.676001545030087,0.705706523938351,0.891719058419738,6.65396555263599,5.81235967608145,0.64227389540281,"C3",0.140487849893533,0.598953441349297,-0.561205280173974,-0.923461514379602
"TCGA-BH-A18V",-0.191765935772462,0.142935580271267,-1.57892568333157,-0.690755551053715,0.257476719166743,-0.161089836517796,0.405572645661581,-1.18997972730343,0.123929145241646,0.325287356835923,0.372104674349415,1.03876442164952,0.247486495241691,0.166755549126283,0.500285414171805,0.654801876304554,6.24782480617983,5.68842503406693,-0.743404917022033,"C3",0.0558278375440923,0.473523381388844,-0.26523936559955,-0.0225800767215179
"TCGA-EW-A1OV",-0.088525057747554,-0.381582115175073,2.45796970629385,0.20362763951372,0.253736080724124,-1.16558504118176,0.360248774311411,-0.845576543266664,1.43259347082157,1.04464474794847,1.03401814865835,0.904880463300079,1.18257047858133,1.19843723328874,1.13967249310781,0.623402480886845,6.11856689501982,5.74668488890099,0.169572275952665,"C3",0.0990192459269312,0.596010415079323,0.0387201443253659,-0.125861493194623
"TCGA-A2-A0ST",-1.16632526045949,-0.588118428956893,0.710805196494932,-0.404419524789243,1.51099003397391,-0.270569391248288,-0.113073090471852,0.241531413116081,1.44406931939549,1.34740933244926,1.35712434998694,0.832144136111992,1.28481440566784,1.44858100841201,1.47916057988772,1.23004637234386,6.47472643247017,5.89359778049469,0.616393989981791,"C3",0.13537115562813,0.609736818962238,-0.870145868570328,-1.22680543887832
"TCGA-E2-A159",-0.785218274838967,-0.947537738533945,1.30781085489777,-0.13983926943482,0.583108026032834,0.804591189205579,0.262759972706124,1.27065417209005,0.854242797891771,0.941318274994046,1.21251361344012,1.19891516978902,0.978180087194093,0.981486710256693,1.07685375096053,0.513347771765414,6.29753619676052,5.64807802858506,0.667782437519062,"C3",0.0832044182667714,0.573848502931966,-0.731467563696862,-0.785188069840638
"TCGA-A2-A0D0",-0.197547458884669,-0.0928288861920114,-0.0740385010674739,-0.530423137843938,-0.533532909131615,1.14469062938927,0.388557113606638,0.106980961136394,0.326925154554269,0.733844329366198,0.514079683849166,-0.610337562739633,0.984232126322961,0.390589710365233,0.461091860348175,0.634088218277319,6.06259509615218,5.48195019270916,-0.231011634964409,"C2",0.122374205968954,0.592873919951749,0.0382326533297029,-0.229595529099013
"TCGA-B6-A0RE",-0.191964997761788,-0.433681106669404,-0.318150034221163,0.561765320191704,0.219011094201626,0.199079190432483,0.56264319039017,1.6371578666348,-1.30768827823511,-1.48458399790171,-0.388019886025003,-0.54670634616386,-1.35760555727175,-1.04518892383851,-0.984798104409724,-0.735559161033216,5.75244151572885,5.44543059408884,1.3013083579448,"C2",0.0371677730161644,0.53787213402404,-0.352155271596671,-0.131275945612771
"TCGA-C8-A134",-0.28788981669386,1.48859158018205,-0.503617216769293,0.588186877370988,0.794954322646513,-1.09375663339685,0.0743289616761739,-0.76229261339181,0.265960589134267,0.0424409509219287,0.880578842911402,-0.120016470319966,0.420038844487786,0.227704077518168,0.40221629865833,0.845807187193555,6.24944797207536,5.90845046583004,-0.715886334027308,"C3",0.0896754251495373,0.546863253030571,-0.20406711445085,-0.242360463260593
"TCGA-AN-A0AT",0.486910572881497,-1.11267775889507,-0.865086559407047,0.423372689323015,-0.0342614717412447,0.433698528424283,-0.077158055660647,0.146381635628736,0.318874416707354,-0.118591603278766,-0.0735342586566618,-0.20720990195294,0.283348956132502,0.117403988357543,-0.00657317400212176,-0.514553236192102,5.81466112246278,5.92038120137799,-0.386296803085434,"C2",0.103698273743212,0.583489007530482,0.635900100899553,0.47068616651553
"TCGA-E2-A1LH",-0.59748229027475,0.426697023109258,0.023788775443691,-1.29263440360435,0.372655324109459,-1.00278459061814,0.432989722778496,-2.68186491835164,1.02228541329264,1.18533039880614,0.811475665069655,0.761112595881957,1.18552210409894,1.09549606996163,0.904308953099688,0.893151695054916,6.42971576066852,5.79872571938523,0.207783228982964,"C3",0.149706303567971,0.619335453806528,-0.234684758567942,-0.674146484522562
